City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,57,33,62,0.97,32,26,35,19
银川,70,24,87,0.49,13,85,90,19
营口,63,29,73,0.55,43,35,46,24
鹰潭,78,57,0,0.57,25,10,17,13
义乌,26,14,25,0.65,33,22,19,4
宜兴,49,29,48,0.75,40,22,36,13
益阳,65,46,61,1.2,33,20,15,4
永州,33,22,32,0.58,29,18,13,18
岳阳,55,38,58,1.05,26,16,11,8
玉林,46,31,45,0.93,26,22,37,29
榆林,188,40,323,0.89,35,60,42,18
运城,105,62,158,0.98,64,15,29,24
云浮,47,29,46,0.87,22,6,6,5
玉树州,60,20,67,0.5,30,44,67,19
玉溪,60,42,65,1.6,25,56,66,14
枣庄,101,67,150,0.78,34,77,96,21
张家港,75,54,97,1.0,59,3,3,8
张家界,51,23,50,1.15,16,16,20,2
张家口,43,21,42,0.64,8,86,84,7
章丘,116,34,179,0.8,33,43,40,20
张掖,46,26,40,0.0,7,86,91,13
漳州,71,51,80,1.17,24,10,5,6
湛江,26,15,21,0.58,6,49,51,3
肇庆,50,35,49,0.85,36,21,30,15
昭通,58,39,63,0.85,14,87,90,9
招远,0,0,0,0.0,0,0,0,0
郑州,149,53,246,0.91,28,62,33,11
镇江,54,34,56,0.98,59,19,25,6
中山,34,20,33,0.53,11,33,26,4
中卫,122,40,192,0.43,14,79,70,6
周口,92,68,101,1.05,49,11,43,9
舟山,36,11,20,0.6,24,55,70,4
珠海,48,33,47,0.65,28,29,50,2
诸暨,0,0,0,0.0,0,0,0,0
驻马店,76,55,84,0.97,49,19,31,9
株洲,50,35,49,0.94,41,4,5,9
淄博,84,29,116,0.62,36,48,53,17
自贡,117,88,127,0.85,17,35,38,13
资阳,75,54,80,0.78,40,17,31,8
遵义,44,28,43,0.65,29,66,78,12
